price,total,transaction_date,type,units_traded,timestamp,count
0,0,0,0,0,2023-05-08 21:07:13.392176,0
0,0,0,0,0,2023-05-08 21:07:14.392501,0
0,0,0,0,0,2023-05-08 21:07:15.393473,0
0,0,0,0,0,2023-05-08 21:07:16.393728,0
0,0,0,0,0,2023-05-08 21:07:17.394504,0
0,0,0,0,0,2023-05-08 21:07:18.394872,0
0,0,0,0,0,2023-05-08 21:07:19.395755,0
0,0,0,0,0,2023-05-08 21:07:20.396242,0
0,0,0,0,0,2023-05-08 21:07:21.396268,0
0,0,0,0,0,2023-05-08 21:07:22.397196,0
0,0,0,0,0,2023-05-08 21:07:23.397229,0
0,0,0,0,0,2023-05-08 21:07:24.397841,0
0,0,0,0,0,2023-05-08 21:07:25.398708,0
0,0,0,0,0,2023-05-08 21:07:26.399311,0
0,0,0,0,0,2023-05-08 21:07:27.400063,0
0,0,0,0,0,2023-05-08 21:07:28.400599,0
0,0,0,0,0,2023-05-08 21:07:29.401212,0
0,0,0,0,0,2023-05-08 21:08:37.118129,0
0,0,0,0,0,2023-05-08 21:08:38.119027,0
0,0,0,0,0,2023-05-08 21:08:39.119074,0
0,0,0,0,0,2023-05-08 21:08:40.119238,0
0,0,0,0,0,2023-05-08 21:08:41.120094,0
0,0,0,0,0,2023-05-08 21:08:42.120338,0
0,0,0,0,0,2023-05-08 21:08:43.121214,0
0,0,0,0,0,2023-05-08 21:08:44.121236,0
0,0,0,0,0,2023-05-08 21:08:45.122224,0
0,0,0,0,0,2023-05-08 21:08:46.123064,0
0,0,0,0,0,2023-05-08 21:08:47.124059,0
0,0,0,0,0,2023-05-08 21:08:48.124894,0
0,0,0,0,0,2023-05-08 21:08:49.125431,0
0,0,0,0,0,2023-05-08 21:08:50.125752,0
0,0,0,0,0,2023-05-08 21:08:51.126347,0
0,0,0,0,0,2023-05-08 21:08:52.126575,0
0,0,0,0,0,2023-05-08 21:08:53.126851,0
0,0,0,0,0,2023-05-08 21:08:54.127909,0
0,0,0,0,0,2023-05-08 21:08:55.127959,0
0,0,0,0,0,2023-05-08 21:08:56.128575,0
0,0,0,0,0,2023-05-08 21:08:58.129998,0
0,0,0,0,0,2023-05-08 21:08:59.130627,0
0,0,0,0,0,2023-05-08 21:09:00.131072,0
0,0,0,0,0,2023-05-08 21:09:01.131325,0
0,0,0,0,0,2023-05-08 21:09:02.131924,0
0,0,0,0,0,2023-05-08 21:09:04.132087,0
0,0,0,0,0,2023-05-08 21:09:05.132982,0
0,0,0,0,0,2023-05-08 21:09:06.133191,0
0,0,0,0,0,2023-05-08 21:09:07.133895,0
0,0,0,0,0,2023-05-08 21:09:08.134554,0
0,0,0,0,0,2023-05-08 21:09:09.134908,0
0,0,0,0,0,2023-05-08 21:09:11.135917,0
0,0,0,0,0,2023-05-08 21:09:13.136817,0
0,0,0,0,0,2023-05-08 21:09:14.137659,0
0,0,0,0,0,2023-05-08 21:09:15.137734,0
0,0,0,0,0,2023-05-08 21:09:16.138120,0
0,0,0,0,0,2023-05-08 21:09:17.138503,0
0,0,0,0,0,2023-05-08 21:09:20.140738,0
0,0,0,0,0,2023-05-08 21:09:21.141708,0
0,0,0,0,0,2023-05-08 21:09:23.142616,0
0,0,0,0,0,2023-05-08 21:09:26.144138,0
0,0,0,0,0,2023-05-08 21:09:28.145318,0
0,0,0,0,0,2023-05-08 21:09:29.146017,0
0,0,0,0,0,2023-05-08 21:09:33.147511,0
0,0,0,0,0,2023-05-08 21:09:34.148139,0
0,0,0,0,0,2023-05-08 21:09:35.148490,0
0,0,0,0,0,2023-05-08 21:09:36.149052,0
0,0,0,0,0,2023-05-08 21:09:38.149360,0
0,0,0,0,0,2023-05-08 21:09:39.150185,0
0,0,0,0,0,2023-05-08 21:09:43.152169,0
0,0,0,0,0,2023-05-08 21:09:44.152503,0
0,0,0,0,0,2023-05-08 21:09:45.152690,0
0,0,0,0,0,2023-05-08 21:09:46.153264,0
0,0,0,0,0,2023-05-08 21:09:47.153365,0
0,0,0,0,0,2023-05-08 21:09:48.153400,0
0,0,0,0,0,2023-05-08 21:09:49.154365,0
0,0,0,0,0,2023-05-08 21:09:50.154488,0
0,0,0,0,0,2023-05-08 21:09:51.154927,0
0,0,0,0,0,2023-05-08 21:09:52.155010,0
0,0,0,0,0,2023-05-08 21:09:53.155484,0
0,0,0,0,0,2023-05-08 21:09:54.156443,0
0,0,0,0,0,2023-05-08 21:09:56.157287,0
0,0,0,0,0,2023-05-08 21:09:57.157665,0
0,0,0,0,0,2023-05-08 21:09:59.158737,0
0,0,0,0,0,2023-05-08 21:10:00.159379,0
0,0,0,0,0,2023-05-08 21:10:01.160119,0
0,0,0,0,0,2023-05-08 21:10:02.160513,0
0,0,0,0,0,2023-05-08 21:10:03.160744,0
0,0,0,0,0,2023-05-08 21:10:04.161243,0
0,0,0,0,0,2023-05-08 21:10:05.161844,0
0,0,0,0,0,2023-05-08 21:10:06.161868,0
0,0,0,0,0,2023-05-08 21:10:07.161983,0
0,0,0,0,0,2023-05-08 21:10:08.162517,0
0,0,0,0,0,2023-05-08 21:10:09.162584,0
0,0,0,0,0,2023-05-08 21:10:13.165445,0
0,0,0,0,0,2023-05-08 21:10:14.165951,0
0,0,0,0,0,2023-05-08 21:10:15.166135,0
0,0,0,0,0,2023-05-08 21:10:16.167096,0
0,0,0,0,0,2023-05-08 21:10:17.167107,0
0,0,0,0,0,2023-05-08 21:10:18.168033,0
0,0,0,0,0,2023-05-08 21:10:19.168394,0
0,0,0,0,0,2023-05-08 21:10:21.169596,0
0,0,0,0,0,2023-05-08 21:10:22.170433,0
0,0,0,0,0,2023-05-08 21:10:23.171087,0
0,0,0,0,0,2023-05-08 21:10:24.171088,0
0,0,0,0,0,2023-05-08 21:10:25.171801,0
0,0,0,0,0,2023-05-08 21:10:26.172761,0
0,0,0,0,0,2023-05-08 21:10:27.173500,0
0,0,0,0,0,2023-05-08 21:10:28.173624,0
0,0,0,0,0,2023-05-08 21:10:29.174247,0
0,0,0,0,0,2023-05-08 21:10:30.174656,0
0,0,0,0,0,2023-05-08 21:10:31.174890,0
0,0,0,0,0,2023-05-08 21:10:32.175752,0
0,0,0,0,0,2023-05-08 21:10:34.176474,0
0,0,0,0,0,2023-05-08 21:10:35.177411,0
0,0,0,0,0,2023-05-08 21:10:36.177698,0
0,0,0,0,0,2023-05-08 21:10:38.178308,0
0,0,0,0,0,2023-05-08 21:10:39.179177,0
0,0,0,0,0,2023-05-08 21:10:40.180070,0
0,0,0,0,0,2023-05-08 21:10:41.180993,0
0,0,0,0,0,2023-05-08 21:10:42.181033,0
0,0,0,0,0,2023-05-08 21:10:43.181907,0
0,0,0,0,0,2023-05-08 21:10:45.182427,0
0,0,0,0,0,2023-05-08 21:10:46.182639,0
0,0,0,0,0,2023-05-08 21:10:47.183274,0
0,0,0,0,0,2023-05-08 21:10:48.184683,0
0,0,0,0,0,2023-05-08 21:10:49.185885,0
0,0,0,0,0,2023-05-08 21:10:50.186086,0
0,0,0,0,0,2023-05-08 21:10:51.186570,0
0,0,0,0,0,2023-05-08 21:10:52.187434,0
0,0,0,0,0,2023-05-08 21:10:53.187592,0
0,0,0,0,0,2023-05-08 21:10:54.187672,0
0,0,0,0,0,2023-05-08 21:10:55.187710,0
0,0,0,0,0,2023-05-08 21:10:56.188288,0
0,0,0,0,0,2023-05-08 21:10:57.188752,0
